case_id,date,country,region,attack_type,sector,description,legal_action,source
CC001,2026-01-15,Unknown,Global,Phishing,Industrial / Critical Infrastructure,AVEVA Process Optimization,Under Investigation,CISA
CC002,2026-01-14,Unknown,Global,Unknown,Industrial / Critical Infrastructure,Secure Connectivity Principles for Operational Technology (OT),Under Investigation,CISA
CC003,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens RUGGEDCOM ROS,Under Investigation,CISA
CC004,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens TeleControl Server Basic,Under Investigation,CISA
CC005,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens SIMATIC and SIPLUS products,Under Investigation,CISA
CC006,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens Industrial Edge Device Kit,Under Investigation,CISA
CC007,2026-01-14,Unknown,Global,Phishing,Industrial / Critical Infrastructure,Siemens RUGGEDCOM APE1808 Devices,Under Investigation,CISA
CC008,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens SINEC Security Monitor,Under Investigation,CISA
CC009,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens Industrial Edge Devices,Under Investigation,CISA
CC010,2026-01-14,Unknown,Global,Malware,Industrial / Critical Infrastructure,Schneider Electric EcoStruxure Power Build Rapsody,Under Investigation,CISA
CC011,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Festo Firmware,Under Investigation,CISA
CC012,2026-01-13,Unknown,Global,Phishing,Industrial / Critical Infrastructure,YoSmart YoLink Smart Hub,Under Investigation,CISA
CC013,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA
CC014,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Rockwell Automation 432ES-IG3 Series A,Under Investigation,CISA
CC015,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Rockwell Automation FactoryTalk DataMosaix Private Cloud,Under Investigation,CISA
CC016,2026-01-12,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA
CC017,2026-01-08,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Hitachi Energy Asset Suite,Under Investigation,CISA
CC018,2026-01-07,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds Two Known Exploited Vulnerabilities to Catalog,Under Investigation,CISA
CC019,2026-01-06,Unknown,Global,Unknown,Industrial / Critical Infrastructure,Columbia Weather Systems MicroServer,Under Investigation,CISA
CC020,2025-12-30,Unknown,Global,Phishing,Industrial / Critical Infrastructure,WHILL Model C2 Electric Wheelchairs and Model F Power Chairs,Under Investigation,CISA
CC021,2025-12-30,Unknown,Global,Unknown,Industrial / Critical Infrastructure,CISA Releases Two Industrial Control Systems Advisories,Under Investigation,CISA
CC022,2025-12-29,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA
CC023,2025-12-23,Unknown,Global,Unknown,Industrial / Critical Infrastructure,CISA Releases One Industrial Control Systems Advisory,Under Investigation,CISA
CC024,2025-12-22,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA
CC025,2025-12-22,Unknown,Global,Unknown,Industrial / Critical Infrastructure,NIST and CISA Release Draft Interagency Report on Protecting Tokens and Assertions from Tampering Theft and Misuse for Public Comment,Under Investigation,CISA
CC026,2025-12-19,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA
CC027,2025-12-19,Unknown,Global,Malware,Industrial / Critical Infrastructure,CISA  and Partners Release Update to Malware Analysis Report BRICKSTORM Backdoor,Under Investigation,CISA
CC028,2025-12-18,Unknown,Global,Phishing,Industrial / Critical Infrastructure,Inductive Automation Ignition,Under Investigation,CISA
CC029,2025-12-18,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Schneider Electric EcoStruxure Foxboro DCS Advisor,Under Investigation,CISA
CC030,2025-12-18,Unknown,Global,Unknown,Industrial / Critical Infrastructure,"Axis Communications Camera Station Pro, Camera Station, and Device Manager (Update A)",Under Investigation,CISA
